nombre,fecha_inicio,fecha_fin,estatus
Desc INAPAM - PCD,OLWAYS ON,OLWAYS ON,INACTIVA
Medidas de control,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
No discriminacion,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
Multienvios,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
Abordaje he Identificacion,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
Aviso de privacidad,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
Terminos y condiciones,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
Doters Boleto Recompensa y Usa puntos,OLWAYS ON,OLWAYS ON,ARTES SIN ENTREGAR
Paypal,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
Web y app 10 + 15,OLWAYS ON,OLWAYS ON,INACTIVA
Multiventa - ETN,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
Viva,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
Enlace,OLWAYS ON,OLWAYS ON,ARTES SIN ENTREGAR
Suburbano,OLWAYS ON,OLWAYS ON,ARTES SIN ENTREGAR
Multiventa Amealcenses,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
"Rutas de San Felipe a (jilotepec, Metro,Rosario, MexNorte, Tepotzotlan)",OLWAYS ON,OLWAYS ON,ACTIVA
Ruta de poninete a (Zitacuaro GDL),OLWAYS ON,OLWAYS ON,ACTIVA
Ruta MEXN-GDL,OLWAYS ON,OLWAYS ON,ACTIVA
HP (Toluca - Morelia),OLWAYS ON,OLWAYS ON,ACTIVA
Morelia - Ixtapa,OLWAYS ON,OLWAYS ON,ACTIVA
Autobuses Nuevos,OLWAYS ON,OLWAYS ON,ACTIVA
Ruta GDL a Colima Manzanillo CDGUZ,OLWAYS ON,OLWAYS ON,ACTIVA
Desc Temporada,11/04/24,08/04/24,ACTIVA
